content_id,platform,content_date,topic,title,caption,content_type,format,hook_type,video_length,posting_time,views,likes,comments,shares,saves,followers_before,followers_after,retention_rate,hashtag_count,hashtags,cta_type,caption_style,audience_segment
CONTENT_59BCF5B0,Instagram,2026-05-16 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Question Hook,45.1,Afternoon (12-4 PM),656,96,6,18,22,47760,47764,0.68,5,#SelfConfidence #struggle,None,Question to Audience,Professionals
CONTENT_A82C237E,Instagram,2026-04-08 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Long Video,Question Hook,296.5,Evening (5-8 PM),37413,2783,733,929,1698,31746,32326,0.21,1,#SelfConfidence #struggle,Link in bio,Long-form vulnerable,Students
CONTENT_61605A88,YouTube,2026-04-03 23:41:46,Overthinking,The truth about overthinking,Let's talk about overthinking. #growth #mentalhealth,Organic,Short Video,Audio Hook,44.0,Night (9 PM-12 AM),13115,1919,233,521,1008,20778,20955,0.69,6,#Overthinking #struggle,Link in bio,Educational / Tips,Professionals
CONTENT_990C3930,YouTube,2026-06-16 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Short Video,Text Hook,38.3,Evening (5-8 PM),47970,5951,741,3428,2425,6801,8215,0.65,9,#Loneliness #struggle,Comment your thoughts,Long-form vulnerable,Students
CONTENT_93BFEF5C,YouTube,2026-07-12 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Long Video,Story Hook,432.0,Night (9 PM-12 AM),48807,4090,519,2194,4471,29312,30056,0.56,6,#Loneliness #struggle,Save for later,Emotion + Personal Story,Students
CONTENT_6A72F044,Instagram,2026-05-03 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Short Video,Audio Hook,29.7,Night (9 PM-12 AM),41977,3238,817,3547,795,33093,33982,0.63,2,#SocialAnxiety #struggle,Follow for more,Question to Audience,Millennials
CONTENT_21FA3C8C,YouTube,2026-06-13 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Carousel,Audio Hook,0.0,Night (9 PM-12 AM),2238,129,25,47,21,17896,17908,0.17,6,#CareerPressure #struggle,Follow for more,Emotion + Personal Story,General
CONTENT_4BDF4107,YouTube,2026-06-11 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Single Image,Story Hook,0.0,Afternoon (12-4 PM),34280,1877,462,1307,58,10435,10591,0.49,4,#CareerPressure #struggle,Comment your thoughts,Long-form vulnerable,Students
CONTENT_5C0D46B3,Instagram,2026-06-13 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Carousel,Story Hook,0.0,Evening (5-8 PM),7084,388,136,45,246,24289,24359,0.46,8,#SocialAnxiety #struggle,Follow for more,Long-form vulnerable,General
CONTENT_5FF2CE4B,TikTok,2026-03-21 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Short Video,Text Hook,54.0,Morning (8-11 AM),455,59,6,14,10,36506,36512,0.55,1,#Dating #struggle,Comment your thoughts,Emotion + Personal Story,Millennials
CONTENT_DA314C5C,Instagram,2026-05-06 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Short Video,Question Hook,32.0,Evening (5-8 PM),12429,1436,133,26,762,42576,42700,0.43,2,#Dating #struggle,Save for later,Long-form vulnerable,Professionals
CONTENT_50F99EB0,TikTok,2026-06-13 23:41:46,Relationships,The truth about relationships,Let's talk about relationships. #growth #mentalhealth,Organic,Carousel,Story Hook,0.0,Morning (8-11 AM),5101,345,82,252,108,38841,38892,0.31,5,#Relationships #struggle,Comment your thoughts,Question to Audience,Gen Z
CONTENT_B64FA273,TikTok,2026-03-18 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Carousel,Audio Hook,0.0,Morning (8-11 AM),20937,1862,198,420,32,8400,8528,0.3,4,#SelfConfidence #struggle,Comment your thoughts,Short & Punchy,Millennials
CONTENT_D30308C5,Instagram,2026-07-09 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Audio Hook,29.8,Night (9 PM-12 AM),357,44,6,3,16,22689,22690,0.57,3,#SelfConfidence #struggle,Share this,Long-form vulnerable,Professionals
CONTENT_ED5A90A0,TikTok,2026-08-22 23:41:46,Overthinking,The truth about overthinking,Let's talk about overthinking. #growth #mentalhealth,Organic,Single Image,Visual Hook,0.0,Afternoon (12-4 PM),16695,1546,139,2067,1069,18924,19514,0.54,8,#Overthinking #struggle,Share this,Long-form vulnerable,Gen Z
CONTENT_2FB54929,Instagram,2026-08-29 23:41:46,Relationships,The truth about relationships,Let's talk about relationships. #growth #mentalhealth,Organic,Short Video,Visual Hook,48.9,Morning (8-11 AM),14309,834,238,508,188,29178,29262,0.55,2,#Relationships #struggle,None,Question to Audience,Millennials
CONTENT_26AA1E3C,Instagram,2026-08-29 23:41:46,Overthinking,The truth about overthinking,Let's talk about overthinking. #growth #mentalhealth,Organic,Carousel,Visual Hook,0.0,Evening (5-8 PM),31786,2780,295,1140,2757,37395,38370,0.58,5,#Overthinking #struggle,Share this,Long-form vulnerable,Professionals
CONTENT_B44908DD,YouTube,2026-03-21 23:41:46,Productivity,The truth about productivity,Let's talk about productivity. #growth #mentalhealth,Organic,Short Video,Audio Hook,18.4,Night (9 PM-12 AM),104973,7524,988,4999,3110,20087,21948,0.37,8,#Productivity #struggle,Share this,Question to Audience,Students
CONTENT_61586AB6,YouTube,2026-07-28 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Short Video,Question Hook,32.5,Afternoon (12-4 PM),3383,257,39,74,71,36547,36567,0.44,3,#CareerPressure #struggle,Share this,Long-form vulnerable,Millennials
CONTENT_266664B0,YouTube,2026-06-02 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Long Video,Visual Hook,159.7,Afternoon (12-4 PM),2092,219,15,122,51,47318,47339,0.55,9,#AcademicStress #struggle,Share this,Short & Punchy,Professionals
CONTENT_6AD048E5,Instagram,2026-06-27 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Short Video,Visual Hook,21.0,Evening (5-8 PM),31690,4478,436,2997,2431,14456,15186,0.7,3,#Loneliness #struggle,Link in bio,Long-form vulnerable,General
CONTENT_D03C8617,YouTube,2026-07-20 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Carousel,Text Hook,0.0,Night (9 PM-12 AM),142528,7442,1777,5536,3775,38131,40372,0.21,9,#Dating #struggle,None,Emotion + Personal Story,General
CONTENT_1BC4FE96,TikTok,2026-06-23 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Carousel,Audio Hook,0.0,Evening (5-8 PM),39641,3716,735,1103,915,43318,43647,0.26,1,#SelfConfidence #struggle,Follow for more,Long-form vulnerable,General
CONTENT_1B3442ED,Instagram,2026-06-28 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Single Image,Text Hook,0.0,Morning (8-11 AM),868,83,17,31,17,13015,13022,0.2,7,#SocialAnxiety #struggle,Link in bio,Short & Punchy,Students
CONTENT_3E961758,YouTube,2026-03-21 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Short Video,Audio Hook,36.3,Night (9 PM-12 AM),2401,129,18,43,6,40749,40755,0.38,2,#Dating #struggle,Follow for more,Emotion + Personal Story,Millennials
CONTENT_1A223783,TikTok,2026-04-25 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Visual Hook,43.3,Evening (5-8 PM),26922,3697,506,30,1172,15178,15310,0.43,8,#SelfConfidence #struggle,Link in bio,Educational / Tips,Students
CONTENT_B17894F3,Instagram,2026-07-06 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Short Video,Story Hook,16.7,Afternoon (12-4 PM),45332,4586,588,1971,831,35674,36084,0.76,7,#AcademicStress #struggle,Link in bio,Emotion + Personal Story,Gen Z
CONTENT_F59DEBA3,Instagram,2026-03-17 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Short Video,Question Hook,55.1,Morning (8-11 AM),2393,282,40,58,70,27069,27094,0.54,3,#Dating #struggle,Link in bio,Educational / Tips,Gen Z
CONTENT_FB4018BF,Instagram,2026-05-03 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Carousel,Text Hook,0.0,Evening (5-8 PM),994,64,8,42,5,11589,11595,0.14,7,#CareerPressure #struggle,Follow for more,Short & Punchy,Professionals
CONTENT_3CA231C4,TikTok,2026-04-04 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Long Video,Text Hook,585.3,Night (9 PM-12 AM),22623,2979,200,1527,1895,1846,2466,0.45,5,#SocialAnxiety #struggle,None,Educational / Tips,Students
CONTENT_5B89361C,YouTube,2026-07-25 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Long Video,Visual Hook,175.1,Night (9 PM-12 AM),790,51,9,23,15,1009,1016,0.43,8,#AcademicStress #struggle,Comment your thoughts,Educational / Tips,Students
CONTENT_DB176958,TikTok,2026-07-07 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Long Video,Visual Hook,405.9,Morning (8-11 AM),25738,2346,263,1647,966,43929,44231,0.39,9,#CareerPressure #struggle,Share this,Educational / Tips,Students
CONTENT_5FB96089,Instagram,2026-06-06 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Single Image,Question Hook,0.0,Night (9 PM-12 AM),19321,2510,335,790,649,41345,41715,0.4,9,#AcademicStress #struggle,Link in bio,Educational / Tips,Professionals
CONTENT_8DE4C828,TikTok,2026-04-20 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Long Video,Visual Hook,290.6,Morning (8-11 AM),16400,1692,98,452,363,28202,28371,0.36,1,#SelfConfidence #struggle,Comment your thoughts,Question to Audience,Professionals
CONTENT_08B8DB16,TikTok,2026-08-13 23:41:46,Overthinking,The truth about overthinking,Let's talk about overthinking. #growth #mentalhealth,Organic,Short Video,Visual Hook,26.2,Morning (8-11 AM),182555,15372,3161,8541,10053,36996,40482,0.75,4,#Overthinking #struggle,Follow for more,Question to Audience,General
CONTENT_9E0D2AAF,YouTube,2026-06-24 23:41:46,Overthinking,The truth about overthinking,Let's talk about overthinking. #growth #mentalhealth,Organic,Long Video,Audio Hook,380.5,Night (9 PM-12 AM),17770,1502,137,632,582,1814,1985,0.2,8,#Overthinking #struggle,Save for later,Educational / Tips,Gen Z
CONTENT_837C3476,Instagram,2026-06-18 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Carousel,Audio Hook,0.0,Night (9 PM-12 AM),49387,2809,304,2310,2289,14718,15227,0.25,4,#CareerPressure #struggle,None,Emotion + Personal Story,Gen Z
CONTENT_4D32FAC8,TikTok,2026-07-17 23:41:46,Relationships,The truth about relationships,Let's talk about relationships. #growth #mentalhealth,Organic,Long Video,Story Hook,146.3,Evening (5-8 PM),21328,2778,108,211,454,35393,35559,0.33,2,#Relationships #struggle,Share this,Short & Punchy,Millennials
CONTENT_3F018226,TikTok,2026-04-27 23:41:46,Productivity,The truth about productivity,Let's talk about productivity. #growth #mentalhealth,Organic,Long Video,Audio Hook,558.1,Night (9 PM-12 AM),13152,702,127,387,420,11395,11496,0.17,1,#Productivity #struggle,Link in bio,Question to Audience,Gen Z
CONTENT_6B98062D,Instagram,2026-04-27 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Short Video,Question Hook,59.9,Evening (5-8 PM),1591,174,9,35,128,3079,3105,0.5,8,#SocialAnxiety #struggle,Comment your thoughts,Short & Punchy,Millennials
CONTENT_512751ED,YouTube,2026-06-27 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Carousel,Text Hook,0.0,Afternoon (12-4 PM),810,102,5,3,30,38641,38645,0.3,1,#CareerPressure #struggle,Link in bio,Question to Audience,Millennials
CONTENT_7250FB4F,YouTube,2026-03-17 23:41:46,Relationships,The truth about relationships,Let's talk about relationships. #growth #mentalhealth,Organic,Short Video,Visual Hook,26.4,Evening (5-8 PM),837966,84258,11669,50524,8169,25160,37556,0.48,3,#Relationships #struggle,Share this,Short & Punchy,Students
CONTENT_F5396610,TikTok,2026-07-17 23:41:46,Productivity,The truth about productivity,Let's talk about productivity. #growth #mentalhealth,Organic,Short Video,Text Hook,43.5,Evening (5-8 PM),29602,4074,433,1324,1822,23419,23877,0.35,7,#Productivity #struggle,Save for later,Question to Audience,Students
CONTENT_91C6EA89,TikTok,2026-07-01 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Visual Hook,53.7,Afternoon (12-4 PM),25459,3754,425,1663,633,25557,25984,0.49,1,#SelfConfidence #struggle,Share this,Emotion + Personal Story,Millennials
CONTENT_B1F58A29,YouTube,2026-08-09 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Audio Hook,59.3,Afternoon (12-4 PM),1524,79,28,62,38,27657,27676,0.41,7,#SelfConfidence #struggle,Link in bio,Long-form vulnerable,Millennials
CONTENT_3E35D5BB,TikTok,2026-05-02 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Short Video,Audio Hook,26.3,Night (9 PM-12 AM),18378,1827,249,1186,654,37397,37585,0.55,1,#SocialAnxiety #struggle,Share this,Short & Punchy,General
CONTENT_184E0CBA,YouTube,2026-05-29 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Story Hook,28.0,Evening (5-8 PM),94528,10080,1147,719,2335,41483,42047,0.52,2,#SelfConfidence #struggle,None,Emotion + Personal Story,Millennials
CONTENT_0B480D0C,TikTok,2026-06-15 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Short Video,Visual Hook,37.3,Morning (8-11 AM),5035,470,43,48,10,10650,10661,0.68,5,#Loneliness #struggle,Comment your thoughts,Question to Audience,Professionals
CONTENT_BC88785A,TikTok,2026-03-21 23:41:46,Productivity,The truth about productivity,Let's talk about productivity. #growth #mentalhealth,Organic,Short Video,Text Hook,35.1,Morning (8-11 AM),13751,1694,235,480,585,16896,17166,0.65,9,#Productivity #struggle,Link in bio,Long-form vulnerable,Millennials
CONTENT_02D8C7FE,TikTok,2026-05-30 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Carousel,Visual Hook,0.0,Evening (5-8 PM),1967,191,19,144,36,9007,9058,0.42,4,#SocialAnxiety #struggle,Link in bio,Short & Punchy,Millennials
CONTENT_62C5FC45,Instagram,2026-03-25 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Long Video,Audio Hook,177.9,Night (9 PM-12 AM),13568,1661,81,1114,816,8564,8956,0.24,2,#Loneliness #struggle,Share this,Short & Punchy,Millennials
CONTENT_107E72E7,TikTok,2026-03-25 23:41:46,Financial Stress,The truth about financial stress,Let's talk about financial stress. #growth #mentalhealth,Organic,Short Video,Story Hook,32.3,Morning (8-11 AM),6163,351,31,237,127,9436,9505,0.77,9,#FinancialStress #struggle,Link in bio,Educational / Tips,Gen Z
CONTENT_6FD15323,TikTok,2026-06-05 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Long Video,Visual Hook,121.6,Afternoon (12-4 PM),476,57,6,32,1,5494,5500,0.54,5,#CareerPressure #struggle,Share this,Long-form vulnerable,General
CONTENT_F8B931D4,YouTube,2026-06-24 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Short Video,Audio Hook,42.6,Afternoon (12-4 PM),10077,1502,85,847,223,37332,37460,0.37,9,#SocialAnxiety #struggle,Follow for more,Educational / Tips,Gen Z
CONTENT_E85EB887,TikTok,2026-03-12 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Carousel,Story Hook,0.0,Morning (8-11 AM),1492,163,19,30,56,27685,27707,0.41,6,#Dating #struggle,Comment your thoughts,Long-form vulnerable,General
CONTENT_00833BC8,Instagram,2026-04-03 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Long Video,Story Hook,339.6,Afternoon (12-4 PM),27496,2125,334,2630,2140,30192,30902,0.36,2,#Loneliness #struggle,Comment your thoughts,Question to Audience,Professionals
CONTENT_8EA17506,Instagram,2026-06-09 23:41:46,Overthinking,The truth about overthinking,Let's talk about overthinking. #growth #mentalhealth,Organic,Short Video,Story Hook,19.9,Night (9 PM-12 AM),73967,8595,973,2083,5865,8314,10151,0.63,9,#Overthinking #struggle,Link in bio,Long-form vulnerable,Professionals
CONTENT_09684FAE,TikTok,2026-08-16 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Single Image,Question Hook,0.0,Evening (5-8 PM),8551,589,155,373,20,48638,48678,0.38,5,#Dating #struggle,Link in bio,Educational / Tips,Students
CONTENT_F1419D60,TikTok,2026-05-11 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Carousel,Question Hook,0.0,Evening (5-8 PM),32346,2835,166,2536,363,48517,48810,0.15,5,#Loneliness #struggle,Link in bio,Long-form vulnerable,Students
CONTENT_1A456DD7,Instagram,2026-08-31 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Carousel,Question Hook,0.0,Evening (5-8 PM),473,60,7,8,14,3353,3358,0.17,4,#Dating #struggle,None,Short & Punchy,Professionals
CONTENT_42085D58,TikTok,2026-03-24 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Short Video,Story Hook,52.0,Evening (5-8 PM),104303,5225,770,10400,6162,7540,11679,0.5,4,#Loneliness #struggle,Save for later,Educational / Tips,Students
CONTENT_A78515AC,YouTube,2026-03-10 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Visual Hook,21.8,Afternoon (12-4 PM),6367,919,71,307,243,33196,33346,0.57,6,#SelfConfidence #struggle,Comment your thoughts,Educational / Tips,General
CONTENT_9C27A63E,Instagram,2026-07-18 23:41:46,Dating,The truth about dating,Let's talk about dating. #growth #mentalhealth,Organic,Carousel,Question Hook,0.0,Afternoon (12-4 PM),7163,491,129,61,166,21017,21068,0.49,5,#Dating #struggle,Link in bio,Question to Audience,Millennials
CONTENT_BA1C3AB9,TikTok,2026-07-17 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Carousel,Visual Hook,0.0,Afternoon (12-4 PM),51961,3248,794,1473,626,6109,6440,0.25,1,#SelfConfidence #struggle,Follow for more,Long-form vulnerable,Millennials
CONTENT_E12943D5,YouTube,2026-06-14 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Audio Hook,49.1,Morning (8-11 AM),43136,2600,585,1349,1527,9905,10561,0.36,1,#SelfConfidence #struggle,None,Emotion + Personal Story,Gen Z
CONTENT_88703835,TikTok,2026-05-09 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Short Video,Question Hook,32.9,Afternoon (12-4 PM),37472,4000,574,1545,169,26003,26213,0.35,6,#AcademicStress #struggle,Save for later,Emotion + Personal Story,Gen Z
CONTENT_8F65C1BA,TikTok,2026-03-12 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Long Video,Text Hook,538.1,Night (9 PM-12 AM),37238,4896,230,2092,2029,17405,18101,0.24,9,#SocialAnxiety #struggle,Follow for more,Question to Audience,Millennials
CONTENT_4D0E1CA3,TikTok,2026-05-01 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Carousel,Question Hook,0.0,Evening (5-8 PM),21010,2057,299,1025,367,19311,19678,0.36,3,#AcademicStress #struggle,Comment your thoughts,Question to Audience,Millennials
CONTENT_0D457AEF,Instagram,2026-04-02 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Long Video,Story Hook,380.4,Night (9 PM-12 AM),3291,237,37,416,56,47804,47917,0.36,4,#SocialAnxiety #struggle,Share this,Question to Audience,Students
CONTENT_A5E97CBA,YouTube,2026-07-02 23:41:46,Overthinking,The truth about overthinking,Let's talk about overthinking. #growth #mentalhealth,Organic,Long Video,Text Hook,366.7,Morning (8-11 AM),9528,504,104,834,774,46350,46572,0.34,6,#Overthinking #struggle,Follow for more,Long-form vulnerable,Students
CONTENT_A493B99D,Instagram,2026-05-08 23:41:46,Academic Stress,The truth about academic stress,Let's talk about academic stress. #growth #mentalhealth,Organic,Short Video,Story Hook,25.6,Evening (5-8 PM),6186,700,65,61,397,5648,5704,0.64,8,#AcademicStress #struggle,Save for later,Emotion + Personal Story,Students
CONTENT_247D966C,TikTok,2026-03-19 23:41:46,Loneliness,The truth about loneliness,Let's talk about loneliness. #growth #mentalhealth,Organic,Short Video,Audio Hook,58.6,Morning (8-11 AM),126790,14666,1252,1879,11073,37142,38675,0.4,6,#Loneliness #struggle,Follow for more,Educational / Tips,General
CONTENT_CEEC5EF5,TikTok,2026-07-07 23:41:46,Career Pressure,The truth about career pressure,Let's talk about career pressure. #growth #mentalhealth,Organic,Carousel,Visual Hook,0.0,Morning (8-11 AM),25736,1716,193,1184,475,16563,16875,0.48,6,#CareerPressure #struggle,Share this,Question to Audience,Professionals
CONTENT_BEBB7C57,YouTube,2026-03-21 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Short Video,Text Hook,38.9,Morning (8-11 AM),1957,105,13,38,18,30856,30867,0.67,4,#SocialAnxiety #struggle,None,Long-form vulnerable,Millennials
CONTENT_704E45E3,TikTok,2026-07-11 23:41:46,Financial Stress,The truth about financial stress,Let's talk about financial stress. #growth #mentalhealth,Organic,Short Video,Text Hook,43.8,Morning (8-11 AM),8620,852,129,61,64,13595,13626,0.51,8,#FinancialStress #struggle,Follow for more,Educational / Tips,General
CONTENT_E4E92AFA,TikTok,2026-06-30 23:41:46,Social Anxiety,The truth about social anxiety,Let's talk about social anxiety. #growth #mentalhealth,Organic,Long Video,Story Hook,205.0,Evening (5-8 PM),59482,7959,1140,221,2081,25089,25615,0.48,8,#SocialAnxiety #struggle,Save for later,Emotion + Personal Story,Students
CONTENT_42696AB8,YouTube,2026-05-16 23:41:46,Self Confidence,The truth about self confidence,Let's talk about self confidence. #growth #mentalhealth,Organic,Short Video,Story Hook,44.3,Night (9 PM-12 AM),19902,1091,391,1482,753,20614,21140,0.8,6,#SelfConfidence #struggle,Share this,Question to Audience,Professionals
